[17-Nov-2020 17:23:22 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 17:23:22 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 17:23:26 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 17:23:26 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 17:25:54 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 17:25:54 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 17:25:58 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 17:25:58 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 17:36:17 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 17:36:17 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 17:36:23 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 17:36:23 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 17:39:58 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
